date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2023-02-26,23938,7833,101540,1185,0,16767,37
2023-02-27,24377,6806,103454,1432,0,18695,362
2023-02-28,22886,7130,107057,1247,0,20229,122
2023-03-01,22567,8091,107939,1329,0,20950,56
2023-03-02,22321,7204,109872,1301,0,22271,144
2023-03-03,21363,6206,107555,1153,0,20486,81
2023-03-04,21681,7436,106421,1229,0,19503,76
2023-03-05,23308,7609,110127,1540,0,21628,37
2023-03-06,24097,6615,112365,1647,0,23378,120
2023-03-07,22348,6749,109072,1443,0,22287,53
2023-03-08,21320,7034,105437,1274,0,20785,75
2023-03-09,20902,7710,109265,1088,0,18775,179
2023-03-10,19602,7068,107432,923,0,16502,122
2023-03-11,20174,7414,101423,976,0,14642,123
2023-03-12,22250,7727,105641,1290,0,16756,43
2023-03-13,22528,6534,107754,1435,0,18571,176
2023-03-14,21284,6303,110850,1361,0,20352,96
2023-03-15,21003,6921,95477,1232,1,17181,143
2023-03-16,20604,7038,91850,1002,0,14180,167
2023-03-17,19868,6647,95314,843,0,15562,109
2023-03-18,20762,7640,91042,1063,0,12715,159
2023-03-19,23635,7723,95875,1388,0,14786,186
2023-03-20,23582,6332,97554,1444,0,16572,752
2023-03-21,22893,6657,101302,1226,0,18252,117
2023-03-22,22063,7164,93689,1046,0,14301,101
2023-03-23,21364,6797,97317,980,0,15887,183
2023-03-24,20412,6182,98385,827,0,15060,277
2023-03-25,21629,7195,98634,1009,0,14986,162
2023-03-26,23610,6892,102752,1199,0,17101,43
2023-03-27,24582,6306,105060,1405,0,19087,200
2023-03-28,23615,6788,103836,1233,0,18518,113
2023-03-29,23496,7143,99252,1117,0,16517,135
2023-03-30,22935,6791,98772,914,0,15261,120
2023-03-31,22567,6780,102507,845,0,16864,178
2023-04-01,22801,6826,98314,1034,0,15083,300
2023-04-02,24132,7080,101289,1240,0,17093,30
2023-04-03,24463,6194,103215,1377,0,18824,158
2023-04-04,23019,6335,106349,1201,0,20434,109
2023-04-05,20767,5636,102618,976,0,19000,76
2023-04-06,19372,5685,102000,819,0,19345,159
2023-04-07,18651,5556,100797,696,0,18091,168
2023-04-08,19701,6982,98485,978,0,15249,158
2023-04-09,20872,7727,102222,1257,0,17435,87
2023-04-10,21448,7104,104455,1398,0,19340,173
2023-04-11,20328,6995,107669,1275,0,21087,148
2023-04-12,18566,6907,98774,1078,0,16919,93
2023-04-13,18106,6846,101828,961,0,18394,102
2023-04-14,17955,6964,102819,934,0,18314,276
2023-04-15,18582,7817,96212,1155,0,15266,164
2023-04-16,20738,7908,100482,1384,0,17318,44
2023-04-17,21156,7018,102323,1466,0,19081,210
2023-04-18,19498,6948,99581,1302,0,18108,154
2023-04-19,17933,6554,95414,1081,0,16553,137
2023-04-20,17443,7129,93786,971,0,15861,217
2023-04-21,18137,7064,93745,818,0,15167,204
2023-04-22,19330,7975,94200,1073,0,15145,140
2023-04-23,21683,8229,98444,1282,0,17296,114
2023-04-24,22548,6958,100824,1451,0,19144,482
2023-04-25,21811,7102,104478,1304,0,20771,118
2023-04-26,21101,7035,96192,1094,0,16253,79
2023-04-27,20992,7493,95270,1000,0,16071,182
2023-04-28,20645,7085,96468,847,0,15496,139
2023-04-29,21596,8002,91188,1107,0,17811,159
2023-04-30,23335,8464,94857,1421,0,19910,27
2023-05-01,24454,7972,97519,1626,0,21716,228
2023-05-02,24309,7245,99368,1436,0,22782,347
2023-05-03,23991,7944,103797,1278,0,24607,150
2023-05-04,23992,8292,102746,1093,0,24420,241
2023-05-05,22077,8089,97229,1071,0,23739,121
2023-05-06,21275,6415,98517,893,0,24532,25
