date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2022-08-20,82,60,17,14,0,12,12
2022-08-21,48,38,7,7,0,1,5
2022-08-22,137,70,95,34,0,37,36
2022-08-23,143,78,98,19,1,19,21
2022-08-24,123,68,51,23,0,16,18
2022-08-25,120,80,86,29,0,24,25
2022-08-26,138,98,90,26,0,20,32
2022-08-27,81,62,31,14,0,8,17
2022-08-28,118,77,5,16,0,2,22
2022-08-29,186,108,69,31,0,35,28
2022-08-30,168,94,82,25,0,29,44
2022-08-31,235,117,111,26,0,26,34
2022-09-01,179,79,108,20,0,17,37
2022-09-02,181,109,64,17,0,21,34
2022-09-03,124,70,14,5,0,7,37
2022-09-04,103,73,22,12,0,2,16
2022-09-05,224,127,80,31,0,29,32
2022-09-06,191,97,103,34,0,34,54
2022-09-07,152,95,79,13,0,13,16
2022-09-08,191,134,79,16,0,20,35
2022-09-09,147,105,34,9,0,2,20
2022-09-10,4,0,0,2,0,2,2
2022-09-11,2,1,1,0,0,0,3
2022-09-12,54,36,3,10,0,4,9
2022-09-13,162,107,45,30,0,34,37
2022-09-14,186,122,89,38,0,46,35
2022-09-15,176,124,191,19,0,8,23
2022-09-16,155,90,109,13,0,23,26
2022-09-17,105,78,19,14,0,7,6
2022-09-18,94,58,12,8,0,4,14
2022-09-19,210,124,85,32,0,24,46
2022-09-20,152,92,42,39,0,33,26
2022-09-21,164,90,69,15,0,19,32
2022-09-22,131,89,60,26,0,18,25
2022-09-23,124,87,36,17,0,20,21
2022-09-24,84,61,23,10,0,4,13
2022-09-25,65,52,14,8,0,1,6
2022-09-26,212,93,63,41,0,36,40
2022-09-27,119,74,51,25,0,17,20
2022-09-28,118,85,47,15,0,20,27
2022-09-29,135,97,48,31,0,22,12
2022-09-30,123,74,128,22,0,14,20
2022-10-01,75,59,29,11,0,15,12
2022-10-02,80,73,25,14,0,10,14
2022-10-03,35,26,10,16,0,7,9
2022-10-04,131,83,153,45,0,37,15
2022-10-05,149,103,70,30,0,22,20
2022-10-06,133,100,41,16,0,18,20
2022-10-07,133,97,63,19,0,25,26
2022-10-08,86,61,25,8,0,7,11
2022-10-09,92,69,25,9,0,4,12
2022-10-10,77,55,45,11,0,9,11
2022-10-11,213,119,100,34,0,48,41
2022-10-12,179,119,71,36,0,50,27
2022-10-13,117,75,42,21,0,18,14
2022-10-14,155,133,113,22,0,18,27
2022-10-15,102,78,25,9,0,6,22
2022-10-16,101,71,20,18,0,12,7
2022-10-17,182,119,90,41,0,42,34
2022-10-18,163,110,66,17,0,22,29
2022-10-19,130,98,60,29,0,24,31
2022-10-20,129,92,62,16,0,15,23
2022-10-21,149,107,77,18,0,26,30
2022-10-22,107,78,41,20,0,13,17
2022-10-23,106,71,15,14,0,7,13
2022-10-24,213,160,125,29,0,50,24
2022-10-25,161,110,100,26,1,26,22
2022-10-26,164,114,99,11,0,17,40
2022-10-27,118,87,51,20,0,16,19
2022-10-28,123,64,63,26,0,30,18
2022-10-29,121,96,30,9,0,6,19
2022-10-30,111,82,30,11,0,10,10
2022-10-31,192,85,122,45,0,38,50
2022-11-01,185,118,100,24,0,32,28
2022-11-02,136,91,66,20,0,31,34
2022-11-03,156,87,51,14,0,21,17
2022-11-04,136,69,67,21,0,19,29
2022-11-05,84,56,22,9,0,9,11
2022-11-06,111,68,19,11,0,4,8
2022-11-07,138,70,83,38,0,25,32
2022-11-08,130,89,95,20,0,29,23
2022-11-09,146,99,55,17,0,13,20
2022-11-10,151,113,55,19,0,22,29
2022-11-11,138,90,54,25,0,28,24
2022-11-12,93,55,21,12,0,5,24
2022-11-13,91,73,19,7,0,6,6
2022-11-14,160,91,78,23,0,35,35
2022-11-15,148,97,72,27,0,21,25
2022-11-16,141,89,60,12,0,11,34
2022-11-17,138,80,45,13,0,13,28
2022-11-18,89,54,33,48,0,25,20
2022-11-19,106,67,35,7,0,5,18
2022-11-20,96,73,21,10,0,7,14
2022-11-21,149,90,71,17,0,26,19
2022-11-22,153,95,73,24,0,29,23
2022-11-23,131,84,47,17,0,14,31
2022-11-24,160,116,91,21,1,10,31
2022-11-25,196,116,111,26,0,28,30
2022-11-26,97,72,23,7,0,5,16
2022-11-27,90,52,18,7,0,5,13
2022-11-28,171,90,95,35,0,29,48
2022-11-29,171,95,74,12,0,21,27
2022-11-30,159,91,61,16,0,20,24
2022-12-01,168,94,56,25,0,29,34
2022-12-02,170,118,120,13,0,9,29
2022-12-03,109,61,22,13,0,8,20
2022-12-04,98,69,12,6,0,5,7
2022-12-05,154,85,86,34,0,25,36
2022-12-06,151,92,52,25,0,21,31
2022-12-07,125,86,40,21,0,13,22
2022-12-08,155,91,48,9,0,10,22
2022-12-09,133,92,94,23,0,18,24
2022-12-10,105,70,21,14,0,3,14
2022-12-11,87,65,17,8,0,3,12
2022-12-12,159,92,77,36,0,36,35
2022-12-13,176,115,63,30,1,16,20
2022-12-14,131,90,41,19,0,22,29
2022-12-15,147,92,54,13,0,10,30
2022-12-16,172,108,119,15,0,16,37
2022-12-17,102,78,30,9,0,3,20
2022-12-18,107,72,30,8,0,1,12
2022-12-19,187,97,72,42,0,42,33
2022-12-20,196,131,79,16,0,23,34
2022-12-21,156,97,50,27,0,22,33
2022-12-22,157,104,88,15,0,13,28
2022-12-23,156,116,40,11,0,6,31
2022-12-24,120,67,27,15,0,6,23
2022-12-25,86,67,9,8,0,3,12
2022-12-26,152,91,120,24,0,32,30
2022-12-27,160,98,67,22,0,17,20
2022-12-28,239,162,69,16,0,7,24
2022-12-29,212,115,92,31,0,20,35
2022-12-30,194,103,93,25,0,14,25
2022-12-31,156,85,35,8,0,6,26
2023-01-01,43,29,6,6,0,3,2
2023-01-02,190,86,70,13,0,27,30
2023-01-03,139,88,69,22,0,14,15
2023-01-04,115,75,69,15,0,21,23
2023-01-05,158,97,69,30,0,17,21
2023-01-06,121,72,91,19,0,13,11
2023-01-07,57,37,10,9,0,2,11
2023-01-08,94,80,15,8,0,5,5
2023-01-09,118,64,40,23,0,26,20
2023-01-10,99,65,46,23,0,24,16
2023-01-11,106,68,46,32,0,23,28
2023-01-12,104,52,41,16,0,13,19
2023-01-13,108,76,32,14,0,10,21
2023-01-14,97,70,16,15,0,9,13
2023-01-15,112,98,12,14,0,5,5
2023-01-16,144,81,49,42,0,24,33
2023-01-17,127,84,57,29,0,23,16
2023-01-18,99,64,50,22,0,18,23
2023-01-19,109,67,35,27,0,19,15
2023-01-20,124,93,58,30,0,21,21
2023-01-21,107,67,18,25,0,13,12
2023-01-22,1,0,0,0,0,0,0
2023-01-24,47,39,15,7,0,6,6
2023-01-25,90,59,68,36,0,43,26
2023-01-26,153,94,49,31,0,20,27
2023-01-27,153,90,137,23,0,13,18
2023-01-28,132,90,27,23,0,3,14
2023-01-29,94,74,10,11,0,3,17
2023-01-30,166,114,59,47,0,31,30
2023-01-31,182,114,77,32,0,24,35
2023-02-01,149,78,57,17,0,18,17
2023-02-02,115,76,51,21,0,9,20
2023-02-03,129,73,93,25,0,16,23
2023-02-04,97,49,13,10,0,6,9
2023-02-05,76,49,6,9,0,3,7
